scorer,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000,DLC_resnet50_OpenFieldJan19shuffle1_100000
bodyparts,Nose,Nose,Nose,RightEar,RightEar,RightEar,LeftEar,LeftEar,LeftEar,Head,Head,Head
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
18,593.878173828125,1122.6839599609375,0.9985384941101074,637.4341430664062,1203.58984375,0.9970065951347351,543.765625,1198.204345703125,0.9859468340873718,593.7647705078125,1181.968505859375,0.9997454285621643
19,601.803466796875,1121.2781982421875,0.9977028965950012,639.8525390625,1202.423583984375,0.9984643459320068,548.8897705078125,1193.606201171875,0.9902890920639038,599.1867065429688,1180.31396484375,0.9997183680534363
20,607.3323364257812,1124.6043701171875,0.9993510842323303,639.8923950195312,1201.640380859375,0.9977526068687439,553.445068359375,1188.877685546875,0.9929060935974121,602.04150390625,1178.2586669921875,0.9993539452552795
21,617.309814453125,1123.9615478515625,0.999067485332489,639.9844970703125,1198.41845703125,0.9970791339874268,557.9807739257812,1176.3333740234375,0.9922254085540771,605.9573974609375,1168.6534423828125,0.9995371103286743
22,620.8505249023438,1119.70068359375,0.9989664554595947,641.0947265625,1190.9581298828125,0.9980302453041077,559.5066528320312,1168.9727783203125,0.9984917640686035,608.632080078125,1160.8919677734375,0.999657392501831
23,624.3653564453125,1111.3187255859375,0.9995344877243042,640.1329956054688,1182.114501953125,0.9978098273277283,561.8797607421875,1157.8189697265625,0.9990829229354858,611.9376831054688,1151.373291015625,0.999808132648468
24,626.9422607421875,1101.98388671875,0.9989674091339111,643.6917724609375,1174.354736328125,0.9984071850776672,565.2135009765625,1149.223876953125,0.9968810081481934,614.3053588867188,1140.9952392578125,0.9997344613075256
25,630.1598510742188,1092.3828125,0.9996627569198608,647.0713500976562,1164.83642578125,0.9973239898681641,570.3372802734375,1138.86962890625,0.9979433417320251,617.6513061523438,1131.7109375,0.9990403056144714
26,636.3455200195312,1085.191162109375,0.9970024228096008,651.7501831054688,1153.462158203125,0.9983957409858704,572.9732055664062,1126.7215576171875,0.9973526000976562,623.2508544921875,1119.7110595703125,0.9995445609092712
27,639.508544921875,1075.513427734375,0.9995742440223694,654.8963623046875,1145.1693115234375,0.9961650371551514,576.6875,1119.173095703125,0.998306393623352,626.9730834960938,1114.03466796875,0.9996224641799927
28,646.0787353515625,1068.7149658203125,0.9986032843589783,657.9410400390625,1139.7835693359375,0.9992647767066956,581.710205078125,1110.2733154296875,0.9980802536010742,631.1800537109375,1104.9140625,0.9997662901878357
29,651.1751708984375,1065.9459228515625,0.9947665929794312,662.360107421875,1133.9561767578125,0.9979720711708069,587.8679809570312,1103.8470458984375,0.9971972703933716,635.53515625,1098.9801025390625,0.9983386993408203
30,657.9082641601562,1057.3316650390625,0.9996745586395264,667.6939697265625,1130.538818359375,0.990645170211792,590.3969116210938,1098.696044921875,0.9967357516288757,640.7794189453125,1094.742431640625,0.9996479749679565
31,668.3189697265625,1051.5322265625,0.9959791898727417,674.3231811523438,1124.9862060546875,0.9981826543807983,598.3096313476562,1090.401123046875,0.9979140162467957,649.0394287109375,1087.3211669921875,0.9990087151527405
32,677.451171875,1043.2025146484375,0.9998124241828918,683.262451171875,1114.04736328125,0.9908473491668701,608.1757202148438,1080.09423828125,0.9974377155303955,659.6594848632812,1077.0540771484375,0.9997373223304749
33,693.679931640625,1040.878662109375,0.999572217464447,688.1012573242188,1109.5399169921875,0.9986635446548462,619.9937133789062,1068.0419921875,0.9909760355949402,668.4777221679688,1069.375732421875,0.9984089732170105
34,706.9334106445312,1038.281005859375,0.998847246170044,697.1452026367188,1102.181640625,0.9955654740333557,633.491455078125,1057.44775390625,0.9947614073753357,682.3897094726562,1063.657470703125,0.9982629418373108
35,713.510009765625,1032.8697509765625,0.998021125793457,706.9575805664062,1093.58447265625,0.9986211061477661,644.7098999023438,1048.9735107421875,0.9975782036781311,693.3724365234375,1055.136962890625,0.9996163845062256
