coords,snout_x,snout_y,ID,centroid_x,centroid_y
325,,,mouse1,243.608,901.893
326,,,mouse1,246.038,906.42
327,,,mouse1,249.462,902.157
328,,,mouse1,242.059,904.497
329,,,mouse1,248.797,905.394
330,,,mouse1,248.035,904.497
331,,,mouse1,250.851,902.959
332,,,mouse1,242.753,901.618
333,,,mouse1,243.158,901.51
334,,,mouse1,243.751,901.79
335,,,mouse1,243.586,904.617
336,,,mouse1,246.784,901.793
337,,,mouse1,242.754,903.566
338,,,mouse1,243.577,903.383
339,,,mouse1,240.885,903.522
340,,,mouse1,239.993,905.744
341,,,mouse1,242.253,905.564
342,,,mouse1,242.328,906.028
343,,,mouse1,241.91,906.379
344,,,mouse1,244.46,898.614
345,,,mouse1,241.899,892.806
346,,,mouse1,246.435,895.365
347,,,mouse1,243.478,895.019
348,,,mouse1,248.747,895.273
349,,,mouse1,242.434,892.009
350,,,mouse1,243.531,891.287
351,,,mouse1,244.512,889.166
352,,,mouse1,243.672,888.753
353,,,mouse1,241.764,890.951
354,,,mouse1,241.968,891.058
355,,,mouse1,240.512,890.633
356,,,mouse1,240.039,888.65
357,,,mouse1,236.465,888.921
358,,,mouse1,233.216,889.075
359,,,mouse1,228.132,908.005
360,,,mouse1,,
361,,,mouse1,,
362,,,mouse1,,
363,295.958,829.972,mouse1,,
364,305.693,835.008,mouse1,,
365,313.818,833.811,mouse1,227.419,891.167
366,319.622,834.059,mouse1,227.729,883.971
367,315.335,820.566,mouse1,227.115,875.193
368,306.815,813.157,mouse1,226.923,858.894
369,,,mouse1,231.471,851.357
370,305.755,774.597,mouse1,235.705,841.938
371,,,mouse1,236.006,820.985
372,311.385,740.931,mouse1,237.801,806.602
373,308.323,735.298,mouse1,241.304,801.951
374,313.933,723.196,mouse1,249.649,799.503
375,316.549,721.056,mouse1,249.297,794.004
376,,,mouse1,256.916,792.539
377,,,mouse1,262.595,787.221
378,,,mouse1,261.415,773.373
379,,,mouse1,259.098,768.828
380,,,mouse1,257.782,760.573
381,,,mouse1,257.361,755.468
382,337.661,672.903,mouse1,259.885,745.366
383,,,mouse1,259.108,730.484
384,,,mouse1,266.111,727.929
385,,,mouse1,269.336,710.321
386,,,mouse1,275.931,704.948
387,,,mouse1,277.639,694.998
388,,,mouse1,281.781,680.079
389,,,mouse1,281.68,658.957
390,,,mouse1,277.885,656.062
391,,,mouse1,267.416,642.471
392,,,mouse1,260.615,648.358
393,,,mouse1,266.343,648.561
394,,,mouse1,262.117,638.414
395,,,mouse1,264.01,629.81
396,,,mouse1,266.315,624.209
397,,,mouse1,260.532,616.864
398,,,mouse1,257.644,607.369
399,,,mouse1,260.061,598.945
400,,,mouse1,257.738,597.204
401,,,mouse1,259.306,582.838
402,,,mouse1,257.989,575.107
403,284.363,460.636,mouse1,253.269,569.202
404,,,mouse1,253.525,550.628
405,,,mouse1,252.705,536.768
406,,,mouse1,250.126,531.726
407,267.331,410.106,mouse1,248.522,517.717
408,263.616,398.782,mouse1,250.981,517.258
409,265.276,388.35,mouse1,253.88,504.089
410,269.036,382.667,mouse1,253.647,501.761
411,268.568,371.662,mouse1,255.217,485.378
412,270.302,366.659,mouse1,250.98,468.481
413,267.725,351.308,mouse1,246.863,468.523
414,265.079,338.445,mouse1,246.758,458.022
415,269.356,334.477,mouse1,246.651,445.563
416,263.768,319.203,mouse1,246.193,438.699
417,268.257,307.387,mouse1,246.399,425.661
418,266.552,298.869,mouse1,248.735,404.458
419,259.957,285.624,mouse1,244.505,399.821
420,262.963,273.743,mouse1,247.667,391.231
421,258.448,268.142,mouse1,247.175,384.127
422,261.434,257.644,mouse1,245.854,378.947
423,256.21,251.685,mouse1,246.275,366.402
424,261.138,240.714,mouse1,246.131,360.703
425,259.407,234.002,mouse1,244.968,352.437
426,265.132,225.684,mouse1,247.255,345.387
427,262.935,225.208,mouse1,242.338,345.99
428,262.629,226.566,mouse1,237.622,343.487
429,266.73,233.91,mouse1,235.294,342.534
430,266.259,239.7,mouse1,226.834,349.628
431,,,mouse1,226.096,348.934
432,,,mouse1,227.545,353.859
433,,,mouse1,229.354,371.349
434,,,mouse1,227.904,378.24
435,,,mouse1,229.047,380.566
436,,,mouse1,235.603,428.096
437,,,mouse1,241.25,443.044
438,,,mouse1,228.19,412.192
439,284.264,367.736,mouse1,311.638,490.76
440,278.841,366.939,mouse1,226.354,458.438
441,,,mouse1,,
442,,,mouse1,310.171,501.189
443,,,mouse1,259.91,503.226
444,,,mouse1,226.759,477.604
445,,,mouse1,227.682,500.478
446,,,mouse1,,
447,,,mouse1,,
448,,,mouse1,210.255,539.196
449,,,mouse1,224.603,561.515
450,,,mouse1,220.356,580.617
451,,,mouse1,220.253,580.813
452,,,mouse1,220.997,580.17
453,307.85,524.326,mouse1,227.369,573.172
454,317.253,531.685,mouse1,230.094,578.027
455,321.462,546.813,mouse1,231.879,573.047
456,322.343,553.622,mouse1,229.033,580.663
457,332.002,562.941,mouse1,232.317,556.676
458,336.263,571.634,mouse1,230.719,564.406
459,342.076,581.758,mouse1,233.223,572.984
460,346.5,591.902,mouse1,248.847,561.02
461,348.757,596.703,mouse1,248.401,562.237
462,354.316,608.902,mouse1,247.05,563.546
463,363.058,616.545,mouse1,256.848,564.033
464,365.294,625.244,mouse1,266.625,567.082
465,368.427,627.669,mouse1,263.404,565.242
466,374.06,632.805,mouse1,272.098,572.152
467,380.185,640.351,mouse1,279.127,574.866
468,379.876,643.367,mouse1,281.248,575.74
469,383.805,645.192,mouse1,280.839,578.048
470,385.116,647.383,mouse1,282.415,566.723
471,391.735,649.058,mouse1,283.215,564.912
472,401.175,652.817,mouse1,293.362,567.957
473,409.675,654.714,mouse1,301.254,565.482
474,414.442,660.792,mouse1,309.521,573.843
475,418.218,665.923,mouse1,324.34,592.965
476,423.864,670.462,mouse1,313.516,603.116
477,422.38,680.619,mouse1,309.226,619.574
478,414.93,691.044,mouse1,310.918,620.9
479,415.136,700.591,mouse1,311.428,613.076
480,403.739,703.766,mouse1,320.992,609.685
481,395.59,707.135,mouse1,312.665,607.048
482,382.214,713.214,mouse1,309.403,607.198
483,382.146,719.013,mouse1,306.081,607.861
484,353.881,720.827,mouse1,300.149,601.611
485,348.84,723.959,mouse1,297.814,610.757
486,334.75,735.08,mouse1,298.866,600.997
487,317.171,745.876,mouse1,288.42,629.75
488,318.895,751.566,mouse1,288.581,633.04
489,322.87,750.515,mouse1,285.93,635.104
490,323.316,751.799,mouse1,293.034,633.546
491,321.817,758.894,mouse1,283.888,644.983
492,320.134,765.736,mouse1,297.961,649.98
493,321.708,767.205,mouse1,304.129,648.128
494,325.597,770.517,mouse1,304.561,652.42
495,335.72,783.543,mouse1,312.609,660.058
496,335.876,790.675,mouse1,310.857,664.188
497,339.993,799.769,mouse1,313.866,680.284
498,333.894,815.543,mouse1,312.301,689.349
499,334.626,815.89,mouse1,304.527,695.947
500,334.436,816.397,mouse1,304.685,693.911
501,331.251,819.166,mouse1,303.317,696.974
502,328.607,821.873,mouse1,294.405,711.305
503,321.632,823.795,mouse1,296.499,708.39
504,320.355,826.435,mouse1,290.322,708.951
505,306.179,823.745,mouse1,286.007,713.977
506,303.729,823.629,mouse1,281.638,712.426
507,300.726,820.466,mouse1,279.33,711.517
508,299.786,815.004,mouse1,282.826,697.472
509,303.461,818.241,mouse1,285.463,695.863
510,297.912,813.925,mouse1,286.756,694.891
511,283.768,814.848,mouse1,286.711,699.898
512,272.789,822.515,mouse1,287.275,703.19
513,256.991,829.722,mouse1,285.251,714.098
514,249.983,834.364,mouse1,280.181,710.641
515,254.835,842.981,mouse1,281.229,727.864
516,255.028,850.59,mouse1,277.924,735.271
517,258.025,865.851,mouse1,272.974,748.908
518,258.681,878.76,mouse1,274.532,761.563
