p_val,avg_log2FC,pct.OE,pct.Scr,p_val_adj,gene
6.61E-03,-0.6129760797,0.117,0.208,1.00E+00,Kcnt2
6.62E-03,-0.4390337854,0.034,0.087,1.00E+00,Gbe1
6.62E-03,-0.1869273831,0.759,0.903,1.00E+00,Slc8a1
6.62E-03,-0.9787864661,0.023,0.068,1.00E+00,Bbs1
6.62E-03,-0.3376376614,0.064,0.135,1.00E+00,Impa1
6.63E-03,-0.450452873,0.055,0.121,1.00E+00,Tfam
6.63E-03,-0.266538975,0.096,0.184,1.00E+00,2310061I04Rik
6.67E-03,-0.4714777959,0.034,0.087,1.00E+00,Nrg4
6.69E-03,-0.4016949125,0.117,0.213,1.00E+00,Abhd3
6.70E-03,-0.7752846204,0.023,0.068,1.00E+00,Bod1
6.74E-03,-0.1120098975,0.323,0.517,1.00E+00,Gabbr1
6.76E-03,-0.4556801267,0.078,0.155,1.00E+00,Mospd2
6.77E-03,-0.1312778185,0.206,0.353,1.00E+00,Trip4
6.79E-03,-0.6590791407,0.034,0.087,1.00E+00,Trim8
6.79E-03,-0.36074936,0.069,0.14,1.00E+00,Mogs
6.79E-03,-0.2596411127,0.064,0.135,1.00E+00,Rnf44
6.80E-03,-0.1641133938,0.342,0.536,1.00E+00,Sacm1l
6.80E-03,-0.1122983352,0.131,0.237,1.00E+00,Nim1k
6.81E-03,-0.4166102768,0.055,0.121,1.00E+00,Aar2
6.82E-03,-0.4375911117,0.112,0.203,1.00E+00,Drp2
6.82E-03,-0.736937216,0.023,0.068,1.00E+00,Gm35040
6.83E-03,-0.1008923396,0.151,0.266,1.00E+00,Mettl8
6.83E-03,-0.3635638076,0.064,0.135,1.00E+00,Champ1
6.83E-03,-0.1609821804,0.154,0.271,1.00E+00,Als2
6.83E-03,-0.443072642,0.055,0.121,1.00E+00,Cir1
6.83E-03,-0.2750636453,0.046,0.106,1.00E+00,Rpl18a
6.87E-03,-0.1782476283,0.174,0.295,1.00E+00,Slc6a15
6.87E-03,-1.356869812,0.03,0.077,1.00E+00,Gm3985
6.87E-03,-0.1376430883,0.264,0.435,1.00E+00,Wipf2
6.87E-03,-0.1429663566,0.135,0.242,1.00E+00,Vps33a
6.90E-03,-1.065679732,0.021,0.063,1.00E+00,Gm5165
6.90E-03,-0.1097720884,0.165,0.295,1.00E+00,Ppp1r10
6.93E-03,-0.1594367465,0.25,0.406,1.00E+00,Fgd4
6.95E-03,-0.2444675796,0.135,0.242,1.00E+00,Washc4
6.96E-03,-0.1399041392,0.154,0.266,1.00E+00,Tpd52
6.96E-03,-0.5610399714,0.034,0.087,1.00E+00,Myo1c
6.96E-03,-0.7579057571,0.023,0.068,1.00E+00,Srpx2
6.98E-03,-0.3373616588,0.108,0.198,1.00E+00,Kif17
6.98E-03,-0.2012949861,0.158,0.275,1.00E+00,Nme7
6.98E-03,-0.6444466242,0.034,0.087,1.00E+00,Ric8a
