p_val,avg_log2FC,pct.KD,pct.Scr,p_val_adj,gene
8.21E-01,0.3639528031,0.089,0.087,1.00E+00,Marcks
8.21E-01,0.2342498509,0.083,0.092,1.00E+00,Dele1
8.22E-01,0.3898392861,0.037,0.034,1.00E+00,Diras2
8.22E-01,0.6123372347,0.07,0.068,1.00E+00,Zfp72
8.22E-01,0.7784500191,0.022,0.019,1.00E+00,Sdr39u1
8.22E-01,0.212609518,0.039,0.043,1.00E+00,Wrnip1
8.22E-01,0.3191934173,0.043,0.048,1.00E+00,Nfyb
8.23E-01,0.8340858297,0.074,0.072,1.00E+00,Trmt2a
8.23E-01,0.2306013775,0.413,0.517,1.00E+00,BC005561
8.23E-01,0.3781025739,0.089,0.087,1.00E+00,Cited2
8.23E-01,0.2474570467,0.104,0.116,1.00E+00,Tpt1
8.23E-01,-0.3019700854,0.026,0.029,1.00E+00,Slc10a3
8.23E-01,0.4225151589,0.07,0.077,1.00E+00,Pcyt1b
8.24E-01,0.5544295198,0.022,0.019,1.00E+00,Klb
8.24E-01,0.756113315,0.022,0.019,1.00E+00,Cib2
8.24E-01,0.210910491,0.463,0.56,1.00E+00,Aco2
8.24E-01,0.4860731296,0.078,0.077,1.00E+00,1700126G02Rik
8.25E-01,0.2120929422,0.152,0.169,1.00E+00,Wbp4
8.25E-01,0.3187022582,0.061,0.068,1.00E+00,Tspan14
8.25E-01,0.5763096098,0.022,0.019,1.00E+00,Gpr161
8.25E-01,0.5596048519,0.022,0.019,1.00E+00,Zfp46
8.25E-01,0.6710762866,0.022,0.019,1.00E+00,Gm15397
8.25E-01,0.4590821369,0.022,0.019,1.00E+00,0610010K14Rik
8.25E-01,0.4845886901,0.065,0.063,1.00E+00,Grem2
8.26E-01,0.1443451393,0.633,0.739,1.00E+00,Atp2a2
8.26E-01,0.3978944566,0.128,0.145,1.00E+00,Wdr18
8.26E-01,0.1822313281,0.043,0.048,1.00E+00,Arl13a
8.26E-01,0.612295467,0.022,0.019,1.00E+00,Svopl
8.26E-01,0.6947936495,0.022,0.019,1.00E+00,Haus8
8.26E-01,0.1923381825,0.265,0.3,1.00E+00,Ccdc58
8.27E-01,0.2635894789,0.233,0.266,1.00E+00,Ctnnd1
8.27E-01,0.2933071759,0.037,0.034,1.00E+00,Eef1aknmt
8.27E-01,0.352396121,0.057,0.063,1.00E+00,Nufip1
8.27E-01,0.544099513,0.107,0.106,1.00E+00,Selenof
8.28E-01,0.4671629401,0.022,0.019,1.00E+00,Gtf3c6
8.28E-01,0.4725021729,0.191,0.198,1.00E+00,Greb1l
8.28E-01,0.4871311113,0.111,0.126,1.00E+00,Lsg1
8.28E-01,0.4158554783,0.343,0.411,1.00E+00,Hnrnph3
8.29E-01,0.549314957,0.078,0.087,1.00E+00,Pdrg1
8.29E-01,0.3652598332,0.224,0.266,1.00E+00,Vkorc1l1
8.29E-01,0.649814399,0.07,0.068,1.00E+00,Cdk5r1
8.29E-01,0.520439445,0.022,0.019,1.00E+00,Echdc2
8.29E-01,0.3281030794,0.052,0.058,1.00E+00,Abcf2
8.29E-01,0.1677251503,0.048,0.053,1.00E+00,Crim1
8.29E-01,0.2615797745,0.235,0.237,1.00E+00,Fstl5
8.29E-01,0.1331100427,0.372,0.435,1.00E+00,L3mbtl3
8.30E-01,0.6555228989,0.157,0.169,1.00E+00,Asah2
8.30E-01,0.4661253717,0.252,0.3,1.00E+00,A930029G22Rik
8.30E-01,0.5349698282,0.083,0.082,1.00E+00,Vezf1
8.30E-01,0.3813833064,0.048,0.053,1.00E+00,Slc37a1
8.30E-01,0.2927683345,0.039,0.043,1.00E+00,Bean1
8.30E-01,0.4437539007,0.022,0.019,1.00E+00,Gm42560
8.31E-01,0.7450683666,0.046,0.043,1.00E+00,Oplah
8.31E-01,0.2434283055,0.048,0.053,1.00E+00,Nptx1
8.31E-01,0.3154460426,0.165,0.188,1.00E+00,Gpat4
8.32E-01,0.2522350463,0.159,0.179,1.00E+00,Ubac1
8.32E-01,0.471285654,0.107,0.106,1.00E+00,Fstl1
8.32E-01,0.4878863211,0.065,0.063,1.00E+00,Rfc2
8.32E-01,0.275927025,0.113,0.126,1.00E+00,Trnau1ap
8.33E-01,0.2992735749,0.043,0.048,1.00E+00,Rbm22
8.33E-01,0.6936389965,0.022,0.019,1.00E+00,Erich3
8.33E-01,0.2947161943,0.035,0.039,1.00E+00,Mrpl35
8.33E-01,0.2554006473,0.039,0.043,1.00E+00,2810403D21Rik
8.33E-01,0.3309838353,0.087,0.097,1.00E+00,Polh
8.34E-01,0.4583323988,0.23,0.275,1.00E+00,Rala
8.34E-01,0.3688650268,0.261,0.314,1.00E+00,U2af1
8.35E-01,0.1031879243,0.03,0.034,1.00E+00,Cpne5
8.35E-01,0.4055939031,0.196,0.227,1.00E+00,Gm20033
8.35E-01,0.714781564,0.05,0.048,1.00E+00,Gm17477
8.35E-01,0.5461443704,0.039,0.043,1.00E+00,Gm45464
8.35E-01,0.46267416,0.061,0.068,1.00E+00,Adrm1
8.36E-01,0.3187950213,0.1,0.111,1.00E+00,4930473A02Rik
8.36E-01,0.457199161,0.048,0.053,1.00E+00,Znhit1
8.36E-01,0.106587003,0.03,0.034,1.00E+00,Enc1
8.36E-01,0.4822938882,0.043,0.048,1.00E+00,Fez2
8.36E-01,0.1772396137,0.022,0.019,1.00E+00,Mcm8
8.36E-01,0.1682920073,0.022,0.019,1.00E+00,Sult2b1
8.36E-01,0.1145863611,0.022,0.019,1.00E+00,9330136K24Rik
8.36E-01,0.4612357991,0.052,0.058,1.00E+00,Eral1
8.36E-01,0.2615490157,0.357,0.406,1.00E+00,Xpr1
8.37E-01,0.2855607694,0.122,0.135,1.00E+00,Cystm1
8.37E-01,0.4130409156,0.12,0.121,1.00E+00,Pccb
8.37E-01,0.3607230037,0.361,0.444,1.00E+00,Smg5
8.37E-01,0.5314818734,0.07,0.068,1.00E+00,Scp2
8.37E-01,0.6309294581,0.18,0.193,1.00E+00,Adamtsl5
8.37E-01,0.5725689159,0.048,0.053,1.00E+00,Zpbp
8.38E-01,0.4116219517,0.17,0.198,1.00E+00,Sfxn4
8.38E-01,0.4858490386,0.096,0.106,1.00E+00,Abhd17a
8.38E-01,0.1353767911,0.257,0.29,1.00E+00,Larp1b
8.38E-01,0.3737814977,0.122,0.135,1.00E+00,Gtf2f2
8.39E-01,0.1714812607,0.022,0.019,1.00E+00,2810405F17Rik
8.39E-01,0.4078036471,0.083,0.092,1.00E+00,Sp3os
8.40E-01,0.3483879861,0.043,0.048,1.00E+00,Gm44040
8.41E-01,0.3314379189,0.035,0.039,1.00E+00,Gm50196
8.41E-01,0.4997883283,0.117,0.121,1.00E+00,Mtmr2
8.41E-01,0.106530623,0.409,0.454,1.00E+00,Nvl
8.41E-01,0.4252910667,0.074,0.072,1.00E+00,Abraxas1
8.41E-01,0.5248778731,0.139,0.159,1.00E+00,Ndufb8
8.42E-01,0.5528709472,0.039,0.043,1.00E+00,Rpl7
8.42E-01,0.3684433374,0.039,0.043,1.00E+00,4931413K12Rik
8.42E-01,0.10250386,0.609,0.725,1.00E+00,Setd5
8.42E-01,0.2378182921,0.03,0.034,1.00E+00,Gm36371
8.42E-01,0.1549605669,0.489,0.604,1.00E+00,Kansl1l
8.43E-01,0.4848250262,0.048,0.053,1.00E+00,Nat14
8.43E-01,0.3504956697,0.133,0.15,1.00E+00,Prkab2
8.43E-01,0.3486128324,0.3,0.343,1.00E+00,Psmb2
8.44E-01,0.1817960396,0.604,0.686,1.00E+00,Grm7
8.44E-01,0.4420600391,0.18,0.208,1.00E+00,Galc
8.44E-01,0.4878584157,0.043,0.048,1.00E+00,Gad1os
8.44E-01,0.2423992839,0.543,0.638,1.00E+00,C1qtnf4
8.45E-01,0.1173042719,0.422,0.517,1.00E+00,Kcmf1
8.45E-01,0.180415556,0.1,0.097,1.00E+00,Jph1
8.45E-01,0.5831829594,0.074,0.082,1.00E+00,Vps28
8.45E-01,0.3716291815,0.104,0.116,1.00E+00,Zfp560
8.45E-01,0.3414558863,0.137,0.155,1.00E+00,Ssbp3
8.45E-01,0.327958288,0.143,0.164,1.00E+00,Zfp955b
8.45E-01,0.4301309789,0.043,0.048,1.00E+00,Fam71d
8.45E-01,0.3409788426,0.043,0.048,1.00E+00,Pigh
8.45E-01,0.7387983081,0.046,0.043,1.00E+00,Nudt12
8.45E-01,0.3660621663,0.039,0.043,1.00E+00,Rrp9
8.46E-01,0.6016363132,0.078,0.077,1.00E+00,Taf4
8.46E-01,0.5317030102,0.035,0.039,1.00E+00,Lamp5
8.46E-01,0.7002610286,0.05,0.048,1.00E+00,Gnb1l
8.46E-01,0.2822609311,0.117,0.13,1.00E+00,Usf2
8.46E-01,0.4299535479,0.039,0.043,1.00E+00,Tuba4a
8.46E-01,0.4886388889,0.078,0.077,1.00E+00,Galt
8.46E-01,0.4473249614,0.057,0.063,1.00E+00,Apip
8.47E-01,-0.13357995,0.022,0.019,1.00E+00,Ppcs
8.47E-01,0.5330673462,0.226,0.251,1.00E+00,Rnf112
8.47E-01,0.242158613,0.035,0.039,1.00E+00,2900052L18Rik
8.47E-01,0.5096057779,0.03,0.034,1.00E+00,Glul
8.47E-01,0.2295421582,0.03,0.034,1.00E+00,Creld2
8.47E-01,0.4335092837,0.057,0.063,1.00E+00,Tmem143
8.47E-01,0.2278034309,0.026,0.029,1.00E+00,Gm49519
8.48E-01,0.4735685373,0.087,0.097,1.00E+00,Ranbp1
8.48E-01,-0.1456218804,0.022,0.024,1.00E+00,Nrde2
8.48E-01,0.5073753254,0.026,0.024,1.00E+00,Kcng4
8.48E-01,0.9010161185,0.026,0.024,1.00E+00,Smco4
8.49E-01,0.7047707244,0.05,0.048,1.00E+00,Thap12
8.49E-01,0.5944205616,0.12,0.126,1.00E+00,Src
8.49E-01,0.4521311903,0.074,0.072,1.00E+00,Snrpa
8.49E-01,0.6664089011,0.109,0.111,1.00E+00,Ncln
8.49E-01,0.405603171,0.061,0.068,1.00E+00,Trim28
8.50E-01,0.8124359677,0.05,0.048,1.00E+00,Ryr3
8.50E-01,0.5922259702,0.061,0.068,1.00E+00,Cep63
8.50E-01,0.3660973556,0.052,0.058,1.00E+00,Rnaseh1
8.50E-01,0.1125874737,0.491,0.604,1.00E+00,Ripor2
8.50E-01,0.1728727684,0.398,0.449,1.00E+00,Ptpn12
8.50E-01,0.3038049371,0.03,0.034,1.00E+00,Ubxn8
8.50E-01,0.2856009011,0.03,0.034,1.00E+00,Rarg
8.51E-01,0.7576393628,0.054,0.053,1.00E+00,Actr5
8.51E-01,0.1550335308,0.026,0.029,1.00E+00,Zfp454
8.51E-01,0.329483756,0.113,0.126,1.00E+00,Slc39a3
8.51E-01,0.1759192876,0.578,0.696,1.00E+00,Mir124-2hg
8.51E-01,0.3453484185,0.378,0.478,1.00E+00,Dalrd3
8.52E-01,0.9001130969,0.026,0.024,1.00E+00,Nop53
8.52E-01,0.3576883322,0.109,0.121,1.00E+00,Klf9
8.52E-01,-0.1869677928,0.343,0.348,1.00E+00,Ncam2
8.52E-01,0.1598674244,0.026,0.029,1.00E+00,L3hypdh
8.52E-01,0.3037414668,0.243,0.28,1.00E+00,Tmem260
8.52E-01,0.5291773899,0.065,0.072,1.00E+00,Fam174b
8.52E-01,0.3383347211,0.22,0.256,1.00E+00,Dnajc27
8.52E-01,0.7350883827,0.05,0.048,1.00E+00,Myg1
8.52E-01,0.4240273228,0.207,0.227,1.00E+00,Myl6
8.53E-01,0.516243388,0.239,0.295,1.00E+00,Letm2
8.53E-01,0.9687487496,0.026,0.024,1.00E+00,Gm49678
8.53E-01,0.1602210205,0.337,0.391,1.00E+00,Gm48512
8.53E-01,-0.1448020712,0.022,0.024,1.00E+00,Gm10010
8.53E-01,0.3438068884,0.039,0.043,1.00E+00,Hsd17b11
8.53E-01,0.2787242244,0.026,0.029,1.00E+00,Vxn
8.53E-01,0.8500910215,0.059,0.058,1.00E+00,Plscr3
8.53E-01,0.6593204817,0.054,0.053,1.00E+00,Mrpl24
8.54E-01,0.4226146227,0.03,0.034,1.00E+00,Gm12227
8.54E-01,0.4781976825,0.046,0.043,1.00E+00,Gpr27
8.54E-01,0.6119978166,0.057,0.063,1.00E+00,Cdk5rap2
8.54E-01,0.3649936544,0.122,0.135,1.00E+00,Ube2i
8.54E-01,0.1057906969,0.426,0.502,1.00E+00,Trim35
8.54E-01,0.7794487713,0.05,0.048,1.00E+00,Mertk
8.54E-01,0.8113486597,0.054,0.053,1.00E+00,Tbc1d7
8.55E-01,0.5093679107,0.026,0.029,1.00E+00,Gm3248
8.55E-01,0.1414786899,0.061,0.058,1.00E+00,Mast3
8.55E-01,0.1509157264,0.35,0.415,1.00E+00,Tbc1d9
8.55E-01,0.4742248848,0.039,0.043,1.00E+00,Ptp4a3
8.55E-01,0.7311368312,0.052,0.058,1.00E+00,Slc30a4
8.55E-01,0.6680401522,0.074,0.082,1.00E+00,Mpp3
8.55E-01,0.7016487653,0.026,0.024,1.00E+00,Gm14051
8.55E-01,0.7202181744,0.026,0.024,1.00E+00,Stxbp2
8.55E-01,0.6966790936,0.026,0.024,1.00E+00,Rabl3
8.56E-01,0.5243016217,0.046,0.043,1.00E+00,Plat
8.56E-01,0.5724375369,0.109,0.111,1.00E+00,Metap1
8.56E-01,0.1535458326,0.022,0.024,1.00E+00,D2hgdh
8.56E-01,0.1282075208,0.022,0.024,1.00E+00,Gm31087
8.56E-01,0.4395767517,0.115,0.116,1.00E+00,Reln
8.56E-01,0.8302834988,0.035,0.039,1.00E+00,Appbp2os
8.57E-01,0.2111561892,0.38,0.425,1.00E+00,Actb
8.57E-01,0.2946331956,0.111,0.121,1.00E+00,Wee1
8.57E-01,0.1139358934,0.554,0.647,1.00E+00,Ogdh
8.57E-01,0.7792321458,0.026,0.024,1.00E+00,Wnk4
8.57E-01,0.2265503353,0.374,0.425,1.00E+00,Slc25a27
8.57E-01,0.5941344587,0.065,0.072,1.00E+00,Gatb
8.57E-01,0.1381996277,0.08,0.087,1.00E+00,Armc6
8.57E-01,0.1835204148,0.439,0.531,1.00E+00,9330159F19Rik
8.57E-01,0.131097248,0.465,0.546,1.00E+00,Gtf2i
8.57E-01,0.6606806981,0.035,0.039,1.00E+00,Mxd1
8.58E-01,0.561998876,0.026,0.024,1.00E+00,Ckmt2
8.58E-01,0.5753223382,0.03,0.034,1.00E+00,Tomm6
8.58E-01,1.097570499,0.039,0.043,1.00E+00,Maml2
8.58E-01,0.5713625718,0.026,0.029,1.00E+00,Cfap298
8.58E-01,0.2882451571,0.022,0.024,1.00E+00,Gm34907
8.58E-01,0.698631228,0.07,0.077,1.00E+00,Ccdc120
8.59E-01,0.7311954387,0.057,0.063,1.00E+00,Ube2z
8.59E-01,0.4620049979,0.154,0.179,1.00E+00,2700097O09Rik
8.59E-01,0.5895766641,0.026,0.024,1.00E+00,Sf3b5
8.59E-01,0.9068401174,0.026,0.024,1.00E+00,Shisa6
8.59E-01,0.6345273474,0.026,0.024,1.00E+00,Znrd1
8.59E-01,0.5839577934,0.026,0.024,1.00E+00,Mcfd2
8.59E-01,0.641686448,0.03,0.034,1.00E+00,Sprn
8.59E-01,0.3305620104,0.026,0.029,1.00E+00,Helb
8.59E-01,0.2744217447,0.026,0.029,1.00E+00,Kcnv1
8.60E-01,0.3910965198,0.104,0.116,1.00E+00,Med24
8.60E-01,0.1272132368,0.022,0.024,1.00E+00,Gm47644
8.60E-01,0.5776724005,0.091,0.092,1.00E+00,Mmd
8.61E-01,0.3596084208,0.026,0.029,1.00E+00,Asf1a
8.61E-01,0.5483982372,0.163,0.193,1.00E+00,Carf
8.61E-01,0.5139759326,0.104,0.106,1.00E+00,Abcb8
8.61E-01,0.1208096435,0.022,0.024,1.00E+00,Tbc1d8b
8.61E-01,0.1132550204,0.13,0.13,1.00E+00,4930509J09Rik
8.61E-01,0.9569313609,0.054,0.053,1.00E+00,Sirt1
8.61E-01,0.3270339947,0.359,0.42,1.00E+00,Ypel3
8.62E-01,0.8083898917,0.03,0.034,1.00E+00,Pkib
8.62E-01,0.4299573602,0.202,0.222,1.00E+00,Shisa4
8.62E-01,0.8425258058,0.035,0.039,1.00E+00,Parvb
8.62E-01,0.4862529265,0.026,0.024,1.00E+00,4930522L14Rik
8.62E-01,0.6194304963,0.026,0.024,1.00E+00,Crtap
8.62E-01,0.2005343616,0.352,0.401,1.00E+00,Ubr1
8.62E-01,0.1528912172,0.476,0.589,1.00E+00,Senp7
8.62E-01,0.6969275779,0.046,0.043,1.00E+00,Gm32926
8.62E-01,0.447664723,0.189,0.208,1.00E+00,Zfyve16
8.62E-01,0.2380159995,0.022,0.024,1.00E+00,Ess2
8.63E-01,0.5224679068,0.087,0.087,1.00E+00,Ampd3
8.63E-01,0.4753881303,0.091,0.092,1.00E+00,Tbkbp1
8.63E-01,0.4394649897,0.048,0.053,1.00E+00,Srpk3
8.63E-01,0.490961353,0.026,0.024,1.00E+00,Plxna3
8.63E-01,0.4024845242,0.026,0.029,1.00E+00,Arhgap33
8.63E-01,0.9147783732,0.043,0.048,1.00E+00,9330162012Rik
8.63E-01,0.4957091946,0.148,0.155,1.00E+00,Qrsl1
8.63E-01,0.3721342167,0.263,0.314,1.00E+00,Ndufv2
8.64E-01,0.5602427311,0.233,0.266,1.00E+00,Fyco1
8.64E-01,0.1688044057,0.022,0.024,1.00E+00,Ldlr
8.64E-01,0.2346924949,0.022,0.024,1.00E+00,A230051N06Rik
8.64E-01,0.6396776266,0.03,0.034,1.00E+00,Zfp626
8.64E-01,0.5606281518,0.126,0.13,1.00E+00,Ikzf2
8.64E-01,0.3974565798,0.026,0.024,1.00E+00,Mien1
8.64E-01,0.4603164299,0.026,0.024,1.00E+00,Gm47460
8.64E-01,0.5974174971,0.026,0.024,1.00E+00,Polr2f
8.64E-01,0.3774782085,0.026,0.029,1.00E+00,Cavin4
8.64E-01,0.1171778782,0.454,0.473,1.00E+00,Eya4
8.65E-01,0.5188472228,0.03,0.034,1.00E+00,Rbm48
8.65E-01,0.452691973,0.03,0.034,1.00E+00,Poln
8.65E-01,0.6083587552,0.03,0.034,1.00E+00,Ruvbl2
8.65E-01,0.5216609908,0.03,0.034,1.00E+00,Mrpl57
8.65E-01,0.333443895,0.022,0.024,1.00E+00,Mmp15
8.65E-01,0.9078690155,0.059,0.058,1.00E+00,Pam16
8.65E-01,0.8375298351,0.063,0.063,1.00E+00,Poc5
8.65E-01,0.2572408169,0.067,0.072,1.00E+00,4930470O06Rik
8.65E-01,0.5740345816,0.096,0.097,1.00E+00,Nup88
8.65E-01,0.558114282,0.078,0.087,1.00E+00,Fastkd1
8.66E-01,0.4675745904,0.189,0.208,1.00E+00,Zzz3
8.66E-01,-0.3224632977,0.041,0.039,1.00E+00,Hs3st2
8.66E-01,0.5031076422,0.091,0.101,1.00E+00,Sdc3
8.66E-01,-0.1803388164,0.017,0.019,1.00E+00,Calhm2
8.66E-01,0.6979407423,0.03,0.034,1.00E+00,Ccnj
8.66E-01,0.4246305081,0.022,0.024,1.00E+00,Wnt2b
8.66E-01,0.3267477765,0.022,0.024,1.00E+00,Csf1r
8.66E-01,0.5595414408,0.074,0.082,1.00E+00,Ppp2cb
8.67E-01,0.5292921693,0.026,0.029,1.00E+00,Tmem121b
8.67E-01,0.7209392283,0.026,0.024,1.00E+00,Dpyd
8.67E-01,0.2704244111,0.18,0.193,1.00E+00,Dph6
8.67E-01,0.2217285019,0.611,0.754,1.00E+00,Mast4
8.67E-01,0.5747692059,0.03,0.034,1.00E+00,Fank1
8.68E-01,-0.1533827743,0.067,0.072,1.00E+00,Mrpl40
8.68E-01,0.3604573386,0.022,0.024,1.00E+00,Tmem170
8.68E-01,0.2496661178,0.022,0.024,1.00E+00,Lrp10
8.68E-01,0.3981922406,0.022,0.024,1.00E+00,Rubcnl
8.68E-01,0.444072308,0.091,0.101,1.00E+00,Ldb1
8.68E-01,0.6364138777,0.096,0.106,1.00E+00,Trmt9b
8.68E-01,0.387911481,0.046,0.043,1.00E+00,Zfp770
8.68E-01,0.7182902541,0.03,0.034,1.00E+00,Rnf5
8.68E-01,0.5771059027,0.054,0.053,1.00E+00,Phyhd1
8.69E-01,0.7211345118,0.12,0.126,1.00E+00,Rgs11
8.69E-01,0.1746009125,0.022,0.024,1.00E+00,Tmem141
8.69E-01,0.5953865396,0.083,0.082,1.00E+00,Nt5c3b
8.70E-01,0.2808714894,0.228,0.251,1.00E+00,Moxd1
8.70E-01,0.8569069594,0.093,0.097,1.00E+00,Itga6
8.70E-01,0.4083868117,0.022,0.024,1.00E+00,Map3k15
8.71E-01,0.6112884006,0.15,0.159,1.00E+00,Crocc
8.71E-01,0.3543378106,0.202,0.232,1.00E+00,Gpatch1
8.71E-01,0.6059166169,0.109,0.111,1.00E+00,Dda1
8.72E-01,0.4393525967,0.083,0.082,1.00E+00,Ankrd6
8.72E-01,0.7241852278,0.022,0.024,1.00E+00,Gatd1
8.72E-01,0.7401710343,0.022,0.024,1.00E+00,Gm47405
8.72E-01,0.3562655712,0.017,0.019,1.00E+00,Gm28154
8.72E-01,0.927385008,0.059,0.058,1.00E+00,Faim
8.73E-01,0.4213803546,0.085,0.092,1.00E+00,Mal2
8.73E-01,0.7568413981,0.059,0.058,1.00E+00,Gm13619
8.73E-01,0.9331704721,0.026,0.029,1.00E+00,Opn5
8.73E-01,0.3696567594,0.154,0.174,1.00E+00,Ipo7
8.73E-01,0.6746088513,0.061,0.068,1.00E+00,Phc1
8.73E-01,0.7291276515,0.022,0.024,1.00E+00,Kcns1
8.73E-01,0.6169507786,0.022,0.024,1.00E+00,Mcm7
8.73E-01,0.9186332948,0.03,0.029,1.00E+00,Fkrp
8.73E-01,0.258027489,0.017,0.019,1.00E+00,Tfr2
8.73E-01,0.1325123463,0.017,0.019,1.00E+00,Galm
8.74E-01,0.1119901959,0.552,0.662,1.00E+00,Abcc5
8.74E-01,0.2554257324,0.026,0.024,1.00E+00,Gm14169
8.74E-01,0.5966342695,0.165,0.179,1.00E+00,Sec11c
8.74E-01,0.254789327,0.254,0.295,1.00E+00,Ythdf3
8.74E-01,0.549065082,0.022,0.024,1.00E+00,Gm12526
8.74E-01,0.5424147414,0.022,0.024,1.00E+00,Cep76
8.75E-01,0.3388782743,0.046,0.043,1.00E+00,Spats1
8.75E-01,0.2800218055,0.128,0.14,1.00E+00,Hat1
8.75E-01,0.6901788782,0.139,0.15,1.00E+00,Sh2d3c
8.75E-01,0.2107075435,0.226,0.256,1.00E+00,Tsga10
8.75E-01,0.6766833881,0.026,0.029,1.00E+00,Zfp120
8.75E-01,0.7917035137,0.059,0.058,1.00E+00,Flna
8.75E-01,0.4891712494,0.1,0.101,1.00E+00,Tcaim
8.76E-01,0.8137240086,0.043,0.048,1.00E+00,BC028777
8.76E-01,0.610868202,0.215,0.246,1.00E+00,Ap3s1
8.76E-01,0.6371577928,0.063,0.063,1.00E+00,Crnkl1
8.76E-01,0.2688637672,0.08,0.087,1.00E+00,Vat1l
8.76E-01,0.2449244891,0.017,0.019,1.00E+00,Npy1r
8.76E-01,0.2413936628,0.017,0.019,1.00E+00,Nudt7
8.76E-01,0.2428048004,0.017,0.019,1.00E+00,Pcdhgc5
8.77E-01,0.2637250435,0.328,0.357,1.00E+00,Cdh20
8.77E-01,0.616433684,0.059,0.058,1.00E+00,Fiz1
8.77E-01,0.7218556619,0.098,0.101,1.00E+00,Gm1673
8.78E-01,0.2950687103,0.017,0.019,1.00E+00,4930549C15Rik
8.78E-01,0.3617297458,0.089,0.097,1.00E+00,Trim41
8.78E-01,0.4454634367,0.174,0.203,1.00E+00,Cbx1
8.78E-01,0.408213135,0.085,0.092,1.00E+00,2010315B03Rik
8.78E-01,0.2952852282,0.424,0.502,1.00E+00,Adamts17
8.78E-01,0.7806977067,0.022,0.024,1.00E+00,Nek6
8.78E-01,1.136617208,0.022,0.024,1.00E+00,Tinf2
8.78E-01,0.6379625913,0.022,0.024,1.00E+00,Sipa1
8.78E-01,0.2683848093,0.337,0.406,1.00E+00,Dock11
8.79E-01,0.408845751,0.261,0.309,1.00E+00,Gps2
8.79E-01,0.2385739717,0.213,0.242,1.00E+00,Zfand6
8.79E-01,0.7169360699,0.011,0.01,1.00E+00,Sulf1
8.79E-01,0.3960883139,0.011,0.01,1.00E+00,Fam72a
8.79E-01,0.6992278767,0.011,0.01,1.00E+00,BB218582
8.79E-01,1.240618945,0.011,0.01,1.00E+00,C820005J03Rik
8.79E-01,1.074847133,0.011,0.01,1.00E+00,Nudt1
8.79E-01,0.6135714822,0.011,0.01,1.00E+00,Pthlh
8.79E-01,0.7953706431,0.011,0.01,1.00E+00,Upk1a
8.79E-01,0.6105709921,0.011,0.01,1.00E+00,Gm15545
8.79E-01,1.870469054,0.011,0.01,1.00E+00,Tnfrsf23
8.79E-01,0.9012486114,0.011,0.01,1.00E+00,Neurod2
8.79E-01,1.299914366,0.011,0.01,1.00E+00,Ston2
8.79E-01,0.6041516727,0.011,0.01,1.00E+00,Sfrp4
8.79E-01,0.5604535683,0.011,0.01,1.00E+00,Gmnn
8.79E-01,0.9341779526,0.011,0.01,1.00E+00,Dhrs4
8.79E-01,0.5906885611,0.011,0.01,1.00E+00,Trem2
8.79E-01,0.6081329289,0.011,0.01,1.00E+00,Dazl
8.79E-01,0.9696085989,0.011,0.01,1.00E+00,Gm50399
8.79E-01,1.132555072,0.011,0.01,1.00E+00,Pcdhb9
8.79E-01,0.405035272,0.178,0.208,1.00E+00,Iars2
8.79E-01,0.3410679966,0.017,0.019,1.00E+00,Isyna1
8.79E-01,0.22814724,0.017,0.019,1.00E+00,Borcs6
8.79E-01,0.3543042295,0.346,0.401,1.00E+00,Cspg5
8.79E-01,0.4248115741,0.159,0.169,1.00E+00,Fbxo28
8.80E-01,0.3100423661,0.217,0.237,1.00E+00,Asap2
8.80E-01,0.5361841285,0.104,0.116,1.00E+00,Ankrd13b
8.81E-01,0.7076968216,0.054,0.053,1.00E+00,Rgs9
8.81E-01,0.5706739962,0.05,0.048,1.00E+00,Satb2
8.81E-01,0.3364004443,0.011,0.01,1.00E+00,Rprm
8.81E-01,0.6168446331,0.011,0.01,1.00E+00,Cstf1
8.81E-01,0.5224754155,0.011,0.01,1.00E+00,Zfhx4
8.81E-01,0.5304342987,0.011,0.01,1.00E+00,Stil
8.81E-01,0.7025617425,0.011,0.01,1.00E+00,Ssc4d
8.81E-01,0.3930416694,0.011,0.01,1.00E+00,BC046251
8.81E-01,0.606523324,0.011,0.01,1.00E+00,Arrdc2
8.81E-01,0.4861927718,0.011,0.01,1.00E+00,B3gnt9
8.81E-01,0.6290630277,0.011,0.01,1.00E+00,Dnaaf2
8.81E-01,0.6137901041,0.011,0.01,1.00E+00,Tcte1
8.81E-01,0.7719191289,0.011,0.01,1.00E+00,Gm50021
8.81E-01,0.4394146234,0.017,0.019,1.00E+00,R74862
8.81E-01,0.5570758126,0.017,0.019,1.00E+00,Gm45708
8.81E-01,0.3032541469,0.017,0.019,1.00E+00,Cdc25a
8.81E-01,0.3455523783,0.017,0.019,1.00E+00,Mob3a
8.81E-01,0.1918639396,0.017,0.019,1.00E+00,Zrsr1
8.81E-01,0.4593052167,0.017,0.019,1.00E+00,Cnmd
8.81E-01,0.2200737052,0.333,0.396,1.00E+00,Fam126b
8.82E-01,0.3373941325,0.33,0.382,1.00E+00,Zfp462
8.82E-01,-0.1484240331,0.013,0.014,1.00E+00,Kank1
8.82E-01,0.1286363989,0.072,0.077,1.00E+00,Igbp1
8.82E-01,0.2910681064,0.17,0.174,1.00E+00,Gm47423
8.82E-01,0.3054507385,0.08,0.087,1.00E+00,Apobec4
8.82E-01,0.1984315931,0.257,0.28,1.00E+00,Slc9a1
