,x,y,roi,transition_index
15571,540.6422729492188,213.21673583984372,O_2,
15572,537.6088256835938,213.21673583984372,O_2,
15573,537.2654418945312,213.7725830078125,O_2,
15574,537.2654418945312,219.22044372558597,O_2,
15575,537.5701904296875,221.40847778320312,O_2,
15576,537.5701904296875,228.30023193359372,O_2,
15577,537.2654418945312,239.7449951171875,O_2,
15578,537.1870727539062,246.2014312744141,O_2,
15579,536.9786987304688,251.2627868652344,O_2,
15580,536.7049560546875,255.39292907714844,O_2,
15581,536.57861328125,258.3598327636719,O_2,
15582,535.8841552734375,263.21014404296875,O_2,
15583,534.8421020507812,264.0756530761719,O_2,
15584,530.9950561523438,269.0457458496094,O_2,
15585,530.1067504882812,269.7177734375,O_2,
15586,526.8407592773438,271.1828308105469,O_2,
15587,525.7201538085938,271.3228454589844,O_2,
15588,522.3953857421875,271.4696350097656,O_2,
15589,520.3108520507812,271.9864807128906,O_2,
15590,516.2630004882812,272.1058654785156,O_2,
15591,512.6278076171875,273.6916198730469,O_2,
15592,505.8399353027344,279.5952453613281,O_2,
15593,502.06829833984375,283.08514404296875,O_2,
15594,493.486572265625,294.19854736328125,O_2,
15595,487.5059509277344,299.02801513671875,O_1,1.0
15596,480.7198181152344,306.9283752441406,O_1,
15597,477.8579406738281,311.1368713378906,O_1,
15598,471.69921875,314.3103332519531,O_1,
15599,469.8542785644531,314.3292541503906,O_1,
15600,466.8354797363281,316.6345520019531,O_1,
15601,466.8354797363281,318.83624267578125,O_1,
15602,466.8235778808594,325.234619140625,O_1,
15603,466.1821594238281,327.5251770019531,O_1,
15604,463.55023193359375,330.5422058105469,O_1,
15605,460.6441650390625,333.0716857910156,O_1,
15606,455.020263671875,342.3156433105469,O_1,
15607,452.6734313964844,345.2346496582031,O_1,
15608,448.485107421875,349.7585754394531,O_1,
15609,447.7245178222656,352.0640563964844,O_1,
15610,445.810546875,354.77362060546875,O_1,
15611,442.1804504394531,354.9425964355469,O_1,
15612,434.7093811035156,355.0823669433594,O_1,
15613,431.478271484375,356.09063720703125,O_1,
15614,429.3489990234375,356.81475830078125,O_2,
15615,423.38775634765625,357.8759460449219,O_2,
15616,420.2131042480469,358.3016967773437,O_2,
15617,413.4829711914063,358.3016967773437,O_2,
15618,407.55377197265625,358.3016967773437,O_2,
15619,405.459716796875,357.0223999023437,O_2,
15620,399.9358215332031,357.0223999023437,O_2,
15621,399.28521728515625,357.0223999023437,O_2,
15622,399.28521728515625,359.2220764160156,O_2,
15623,399.28521728515625,361.6295471191406,O_2,
15624,399.46002197265625,363.0194396972656,O_2,
15625,399.46002197265625,363.0194396972656,O_2,
15626,399.46002197265625,363.0194396972656,O_2,
15627,398.8963928222656,361.9552612304688,O_2,
15628,398.60345458984375,361.3375854492188,O_2,
15629,397.343017578125,355.2020874023437,O_2,
15630,396.8490905761719,352.6811218261719,O_2,
15631,394.7506103515625,343.7587280273437,O_2,
15632,394.5914001464844,340.472900390625,O_2,
15633,393.869140625,335.5982666015625,O_2,
15634,393.869140625,332.9037780761719,O_2,
15635,393.869140625,332.9037780761719,O_2,
15636,394.5015869140625,332.9037780761719,O_2,
15637,395.2127075195313,334.2364807128906,O_2,
15638,395.2380676269531,336.1273498535156,O_2,
15639,395.423828125,336.6996459960937,O_2,
15640,396.6112365722656,336.6996459960937,O_2,
15641,398.4186401367188,336.6996459960937,O_2,
15642,418.5864562988281,334.7532653808594,O_2,
15643,418.5864562988281,333.05670166015625,O_2,
15644,418.5864562988281,332.9330139160156,O_2,
15645,418.4608154296875,330.231201171875,O_2,
15646,418.4505310058594,330.1460876464844,O_2,
15647,418.2672729492188,330.1460876464844,O_2,
15648,417.1901550292969,330.1460876464844,O_2,
15649,416.5027770996094,330.78125,O_2,
15650,416.5027770996094,332.5618896484375,O_2,
15651,413.9967651367188,332.5618896484375,O_2,
15652,413.59765625,332.5618896484375,O_2,
15653,400.7803649902344,327.580322265625,O_2,
15654,399.5139770507813,326.4151611328125,O_2,
15655,398.6719055175781,324.5053100585937,O_2,
15656,396.8903503417969,323.8535461425781,O_2,
15657,398.1131286621094,321.9842834472656,O_2,
15658,397.8840942382813,321.94549560546875,O_2,
15659,396.7146606445313,321.94549560546875,O_2,
15660,397.1063232421875,321.9842834472656,O_2,
15661,397.4169921875,321.9842834472656,O_2,
15662,397.4169921875,321.83795166015625,O_2,
15663,397.4169921875,321.6866149902344,O_2,
15664,398.3644409179688,321.2986145019531,O_2,
15665,398.3644409179688,321.2986145019531,O_2,
15666,398.3644409179688,321.2615966796875,O_2,
15667,394.3616943359375,321.2615966796875,O_2,
15668,394.0603942871094,321.5406188964844,O_2,
15669,393.9293212890625,321.6635437011719,O_2,
