,Nose_x,Nose_y,Head_x,Head_y,roi,transition_index,N_s1_dist,NosePoke,NHaxis_angle,Heading_2_Szone,distance,approaching,EVT1,EVT2,EVT3
29,557.7785034179688,223.22543334960935,557.7785034179688,223.22543334960935,S,,29.3964893979156,on,111.405353333278,False,104.16591539581154,True,,,
30,557.7785034179688,223.2643280029297,557.7785034179688,223.2643280029297,S,,27.314995601482693,on,111.43762641217677,False,104.20147294293037,False,,,
31,557.7785034179688,224.1906280517578,557.7785034179688,224.1906280517578,S,,23.341788459392205,on,112.23454949427874,False,105.04899665688433,False,,,
32,557.7785034179688,224.1906280517578,557.7785034179688,224.1906280517578,S,,17.294468260142843,on,111.43328287034156,False,105.04899665688433,False,,,
33,557.6739501953125,224.0196228027344,557.6739501953125,224.0196228027344,S,,10.92072896771327,on,111.64492731031169,False,104.93456272958056,True,,,
34,557.4409790039062,224.0530242919922,557.4409790039062,224.0530242919922,S,,10.559591271805113,on,111.64405624571704,False,105.05928680408977,False,,,
35,556.9779052734375,224.0196228027344,556.9779052734375,224.0196228027344,S,,10.908678383066203,on,110.60601598545777,False,105.2172447740422,False,,,
36,556.9779052734375,223.5476837158203,556.9779052734375,223.5476837158203,S,,9.502844604983144,on,111.42918637014348,False,104.7867381786443,True,,,
37,556.8627319335938,223.53868103027344,556.8627319335938,223.53868103027344,S,,9.358616823994364,on,111.84989041869288,False,104.82587213678369,False,,,
38,556.7974853515625,223.37484741210935,556.7974853515625,223.37484741210935,S,,9.259051047190377,on,112.33641904855027,False,104.70348031861977,True,,,
39,556.0697021484375,223.2106475830078,556.0697021484375,223.2106475830078,S,,8.893989338334851,on,110.75259466533232,False,104.8567522027204,False,,,
40,556.0550537109375,223.05484008789065,556.0550537109375,223.05484008789065,S,,8.266447381329709,on,110.90077838687061,False,104.7214444537653,True,,,
41,556.0548095703125,223.05484008789065,556.0548095703125,223.05484008789065,S,,8.04898969451772,on,110.91008258964317,False,104.72154690433084,False,,,
42,556.0548095703125,223.05484008789065,556.0548095703125,223.05484008789065,S,,7.921046678456686,on,110.77327842083383,False,104.72154690433084,False,,,
43,556.0697021484375,222.74090576171875,556.0697021484375,222.74090576171875,S,,6.8866551486089955,on,110.5420871304514,False,104.43040885622285,True,,,
44,556.1467895507812,222.7310943603516,556.1467895507812,222.7310943603516,S,,6.794149634544011,on,110.14628057852755,False,104.38910051060554,True,,,
45,556.313720703125,222.2742462158203,556.313720703125,222.2742462158203,S,,6.140786810752887,on,110.04138695998068,False,103.90440076515374,True,,,
46,557.4657592773438,222.0103302001953,557.4657592773438,222.0103302001953,S,,5.039635744405219,on,111.53477944375314,False,103.18480420198811,True,,,
47,557.4657592773438,221.9902801513672,557.4657592773438,221.9902801513672,S,,5.557614925413722,on,111.19705374793067,False,103.16653719489356,True,,,
48,557.5475463867188,221.4319305419922,557.5475463867188,221.4319305419922,S,,5.011732064466005,on,110.89662414151438,False,102.62424890147284,True,,,
49,557.6981811523438,220.7993011474609,557.6981811523438,220.7993011474609,S,,4.564455250668959,on,110.75983381574322,False,101.98604890511773,True,,,
50,557.6981811523438,220.7993011474609,557.6981811523438,220.7993011474609,S,,4.685771706997004,on,110.40207509093653,False,101.98604890511773,False,,,
